date,neural net|0,neural net|1,neural net|2,neural net|3,neural net|4,neural net|5,neural net|6,neural net|7,neural net|8,neural net|9,neural net|10,neural net|11,neural net|12,neural net|13,neural net|14,neural net|15,neural net|16,neural net|17,neural net|18,neural net|19,neural net|20,neural net|21,neural net|22,neural net|23
2017-09-01,759.83984,664.6814,646.0946,684.71893,646.9225,608.6013,710.687,664.7615,685.7597,722.7547599999998,635.0412,760.7673,682.04877,714.84656,665.5381,786.46265,782.37054,834.44385,695.0856,688.5435,693.3173,543.5663,664.4074,817.19135
2017-09-02,711.0383,682.8923,791.0781,663.1528,691.6253,659.48474,612.74036,677.5998,813.18384,741.3058,647.9712,799.1477,748.81537,707.6807,660.2969400000002,767.9636,778.68604,751.8946,743.4966400000002,727.8493,746.8398,697.3326400000002,751.16187,698.15845
2017-09-03,737.2876,738.3837,752.6735,732.5886,708.8963,642.0947,593.685,599.2626,606.1108,675.2957,701.2569599999998,762.44714,713.2236,703.8036,828.4346,722.67896,704.8815,633.8933,621.92944,621.8737,613.75446,603.2206,675.8666,731.7682
2017-09-04,746.5777,672.57965,691.8122599999998,729.9153,685.1723,704.0188,680.28485,808.37787,747.4196,771.2315,733.9391,682.22644,688.8569,746.3714,694.5376,652.14343,634.8237,570.165,646.85785,652.10645,708.0413,661.2787,651.3054,709.7782599999998
2017-09-05,722.90497,676.27405,689.1726,724.4979,681.7282,601.6335,621.73236,574.4373,617.2662,626.65045,650.6554,682.2255,760.86127,804.178,887.41266,834.01575,697.69965,721.4372599999998,730.43646,702.7184,810.4952,740.47015,724.3833,745.0518
2017-09-06,791.9043,776.573,758.8429,764.2266,718.7965,621.2848,634.8919,543.3672,591.13464,563.05865,639.26544,679.0419,772.0776400000002,767.34625,871.08734,801.4949,797.5232,728.5163,738.0939,836.4259599999998,858.6765,805.8382,768.2796599999998,758.8687
2017-09-07,795.53485,875.97064,692.1965,706.24146,680.64124,693.34924,746.2974,606.69165,629.95795,661.65436,655.7224,723.6818,725.0232,745.8058,826.2389,789.91187,762.17566,729.0885,702.1794,724.63477,782.1266,760.41656,721.94855,726.63965
2017-09-08,793.1004,779.86285,721.4741,724.37006,695.2619599999998,654.4721,648.7909999999998,685.7036,655.847,657.0056,669.5149,705.7893,740.3247,754.89923,771.9002,706.71277,713.11523,690.1532599999998,730.6123,640.7274,674.5533,708.3165,786.5229,758.5609
2017-09-09,718.7481700000002,772.9354,679.94745,686.0713,677.0866,626.6997700000002,657.27527,646.72205,682.6013,703.4753400000002,646.7786,654.0602,632.3283700000002,773.6357,693.8209,705.6078,652.1328,677.9107,698.1968,653.976,673.9639,702.4561,749.2476,722.3182
2017-09-10,687.8804299999998,678.89984,624.4819,694.5002,694.2991,603.1682,640.56036,602.05646,668.87714,688.905,647.81635,690.18915,615.8822,725.02,646.5295,700.1199,660.4965,686.7889,707.2787,672.0464,695.8372,688.02484,760.2901,750.4784
2017-09-11,673.53156,628.99786,546.5553,723.6106,732.5205,633.87146,732.00793,735.62463,720.1923,802.37415,783.5237,769.6518599999998,609.7738,706.11456,577.87,574.59015,570.6553299999998,586.0686599999998,621.4253,577.33466,651.4585,699.6130400000002,778.5228,679.18353
2017-09-12,802.0355,686.21063,724.3028,778.32935,749.5709,674.12067,670.27625,801.10956,899.06244,810.35455,771.16223,782.66235,743.0241,619.1937,594.36725,726.2088,791.07336,795.56854,773.2592,779.1419,915.4305,764.1134,813.3608,828.7004
2017-09-13,720.21173,731.8664,754.1941,653.5392,626.1477,646.98395,756.2033700000002,679.1382,722.2497599999998,686.75433,703.0976,655.75494,699.7675,725.3296,748.6893299999998,808.939,764.9813,814.4653,667.2884,657.72266,736.7128,773.61475,737.8583,832.67487
2017-09-14,716.3257,695.1885,752.40796,732.2928,734.48645,586.3974,636.769,670.9128,736.67175,585.3893,599.6635,676.3636,719.0457,676.1885,762.1731,747.4561,747.49585,767.62726,698.36755,631.774,722.8128,773.1834,810.22504,754.3810000000002
2017-09-15,733.78046,813.94495,767.38855,691.96185,737.5818,730.6532,709.38367,720.09485,798.13306,705.16534,662.39545,682.65704,700.6015,738.5624,760.9522,753.6567,792.3489999999998,772.8813,759.43286,715.7604,777.79346,795.1637,788.37177,787.6896
2017-09-16,713.7481700000002,764.4468,719.0289,700.6581,724.6382,657.7407,674.9910000000001,701.1945,751.74725,659.06964,636.9377,661.77264,685.16846,742.2593,719.5373,701.5310000000002,709.21826,758.9451,788.61084,740.66296,779.4187599999998,795.2807,803.7775,736.09656
2017-09-17,772.6129,768.3378,749.87054,739.47485,682.5946,649.8672,700.1711,757.7552,765.42,677.70245,631.2443,638.87915,707.54626,745.23755,712.23114,696.439,701.69763,769.8088,772.6373,769.8547,804.2949,827.29565,817.90247,777.5355
2017-09-18,713.9172,662.2125,710.8671,734.20917,663.3686,675.9741,621.2909999999998,548.70734,609.7857700000002,628.2448,565.4935,661.4185,750.8886,723.3371,782.4386,704.5346,740.02716,750.22864,796.71686,759.08887,738.93085,727.68463,800.9901,748.4554400000002
2017-09-19,667.11755,643.725,745.45013,716.28937,662.8587,550.5567,599.2768599999998,469.45828,567.09393,530.3818,467.79385,677.3104,801.7225,729.4119,804.46857,687.7895,655.7352,781.32715,747.3299599999998,713.38574,716.35596,696.7468,826.1876,799.1477
2017-09-20,761.2857700000002,788.9252,727.6269,707.461,651.63153,629.6934,672.9094,660.8542,730.0982,694.63245,600.5658,725.2966299999998,750.90765,857.299,876.3831,812.3595,782.1314,807.9905,777.34656,760.7536,793.2778,753.4814,829.9860000000001,879.9910000000001
2017-09-21,761.84204,755.8995,717.9924,712.62396,681.18695,685.8449,709.9884,783.4903,778.79626,773.6264,655.3106700000002,655.62714,707.945,752.3984,689.86316,684.1737,697.26373,726.0492,743.6918,689.90234,738.4983,737.1815,772.83514,740.188
2017-09-22,788.3553,746.0259,720.1978,709.4859,678.8216,615.1281,658.3937,689.6144400000002,753.3128,736.7348,642.0153,680.4327,707.9807,788.2505,742.4739400000002,706.577,718.9612,751.4229,733.08136,686.9209599999998,749.0445,726.0959,780.07916,752.9696
2017-09-23,740.2578,737.4924,689.9667,706.76184,699.0441,665.0687,689.52734,685.9960000000002,724.0872,718.6716299999998,705.0074,719.814,704.1664400000002,733.9425,698.2516,690.0751,695.42896,716.2388,703.1479,695.3267,746.7688,760.25195,783.54724,765.8096
2017-09-24,738.36896,725.7593400000002,684.5186,696.1265,670.7658,582.4359,567.8316,621.81616,682.84924,618.8623,607.1045,663.7194,692.1642,731.918,720.789,659.0021,670.1733,716.95355,728.7301,675.3415,728.27783,737.1593,799.4821,786.99536
2017-09-25,675.051,632.98816,668.0574,710.00104,719.72046,607.50586,562.27716,583.53955,632.19354,623.4162,579.5396,634.9599599999998,697.70984,711.50714,735.2984,649.5856,664.02356,709.25134,756.04474,672.7782599999998,684.4839,743.08813,853.9032599999998,732.655
2017-09-26,731.99054,720.86914,732.3761,712.7715,693.6496,569.8155,479.99518,430.90863,511.72604,511.84894,489.39963,554.844,706.1517299999998,695.25385,761.2349,667.1251,690.828,803.8607,828.38464,740.2627,793.4753,795.98975,864.8887,835.63916
2017-09-27,637.5753,597.745,775.1837,810.5958,724.90497,627.4132,376.8736,397.91217,513.2767299999998,521.9929,540.09644,641.6133,769.16364,706.76984,829.5461,684.4904,689.22974,780.7625,742.0186,764.5423,714.6688,649.28406,782.7742,719.2345
2017-09-28,579.1301,613.5254,637.8586,724.8731,642.0004,567.07825,563.5278,540.1935,663.6088,614.5235,581.6362,677.0181,797.4952,810.4223599999998,875.06793,745.5980000000002,735.7031,712.60657,736.66534,678.18427,651.1796,550.1,692.72723,706.4834599999998
2017-09-29,683.4255,802.0885599999998,737.35956,757.3948,648.29877,675.1542,630.89703,732.0341,703.91693,772.4680000000002,678.087,698.9872,756.62756,716.2655599999998,678.49347,688.4553,738.4406,632.5619,682.82245,714.4577,726.5209,680.63385,691.4856599999998,756.0197
2017-09-30,742.2004400000002,762.9468400000002,649.44305,683.0286,705.3974599999998,619.9313400000002,604.8608,531.16547,601.7134,568.0679,613.2724599999998,648.3763,633.9075,716.66254,732.8848,804.8906,740.61707,759.89233,761.9574,672.3371599999998,701.3635,654.7033700000002,668.10736,710.5938
2017-10-01,681.1387,679.21594,668.36285,656.9171,647.44025,537.3403,468.60364,436.97226,545.00354,596.48737,569.4575,679.2533,696.89355,689.6990400000002,705.3362,708.0009,695.0703,736.232,731.97784,654.8514,709.7474,635.8295,763.623,794.9585599999998
2017-10-02,737.4105,803.8162,691.94855,716.3283,743.9784,633.61694,545.35046,499.84567,564.0038,568.46173,581.4671,698.7735,737.8892,733.8942,768.0926,794.9060000000002,720.1972,794.18353,786.26416,726.77795,806.65137,767.6954,829.94135,835.27075
2017-10-03,751.9152,730.86115,649.6099,710.26697,685.04297,620.394,681.8562,536.89484,559.20416,504.52643,562.0826,624.67224,699.27277,711.9199,674.4908,693.84094,662.25037,730.2299,736.5912,726.0195,767.6695,779.65094,763.4952,811.0419999999998
2017-10-04,760.1954,675.2955,654.1102,735.83246,664.3521,650.4829,707.2479,786.7513,781.48865,683.6155,644.8846,623.5878,712.8245,668.3533,640.6927,586.8774,598.474,600.08,699.85956,722.711,785.11127,790.4166,832.7544,804.5553
2017-10-05,802.6776,717.6817,645.936,653.0822,709.73157,743.9612,724.56476,658.0093400000002,689.2231400000002,730.9296,674.4876,660.9598,699.4515,714.4756,747.3089,620.8701,608.8919999999998,581.6398,652.84485,662.65234,771.6206,730.6337,748.82935,638.7412
2017-10-06,635.39703,569.6878,618.9391,688.79614,759.1747,641.6831,648.497,664.84863,708.08746,653.6941,684.2158,660.4383,726.5134,713.65656,780.7565,653.45935,628.7578,603.4733,702.4518,620.0268,687.6933,699.2204,707.7915,615.2331
2017-10-07,745.4411,673.7499,781.1304299999998,814.7468,745.2577,565.7121599999998,482.3835,563.79065,670.03815,531.4237,586.65735,581.189,755.8069,724.0210000000002,902.69116,777.4033,838.67365,799.7366,889.5246,804.77594,860.2487,765.9069999999998,795.6905,803.1339
2017-10-08,788.69025,708.7948,723.71655,771.2318,657.4695,607.4805,713.9071700000002,697.7099599999998,723.69916,686.6160000000001,688.25226,665.97565,692.07794,693.3393,650.8837,707.2560000000002,812.0063,890.4106400000002,760.2447,731.6492,830.3156,769.7352,824.298,850.0146
2017-10-09,765.5159,767.345,840.3008,757.6768,661.06854,687.9789400000002,735.59094,697.0896,852.0468,869.21454,648.4148,655.1083,702.2435,757.84296,710.9031,872.2798,921.848,830.2667,752.16833,749.2345,775.33966,809.5882,859.3867,851.5013
2017-10-10,743.6945,704.3406,753.5861,674.16895,722.5731,723.6244,639.6041,641.3695700000002,706.02155,665.825,661.2942,619.2806400000002,672.7677,656.9129,684.1988,666.31415,684.07526,703.6126,669.91174,767.153,769.0768400000002,695.9566,707.6477,693.8248
2017-10-11,599.62866,615.3886,750.0393,636.82825,624.32526,619.04987,605.977,673.1627,645.8555,494.87857,555.58765,756.0061599999998,751.90393,716.1405599999998,741.4042,694.5304,741.9979,750.5509599999998,764.18463,796.3560000000001,758.2766,734.40063,748.049,681.05743
2017-10-12,714.8512,622.4248,711.3108,662.2133,708.6855,660.5303,760.6415,580.19867,636.0709,608.34125,694.1244,777.01605,770.75964,761.7466,769.0296599999998,716.47565,741.3522,777.2194,782.4729,790.06604,772.2679,883.628,838.4995,680.36395
2017-10-13,709.3860000000002,713.788,842.6692,670.4689999999998,696.4905,644.1246,554.77515,522.55743,526.9616,595.0778,660.3976,648.2421,704.76825,728.9895,848.0323,775.6401,773.54193,697.3231,709.23535,800.7474,801.4113,823.91205,792.00146,831.6423
2017-10-14,681.6233,632.9222,712.7859,641.3152,574.0474,598.03,544.7887,549.18884,577.77277,464.20688,554.177,642.0704,692.1673,692.78,778.40436,717.706,730.84186,699.5503,714.85364,777.5633,802.0011599999998,789.3889999999999,781.6624,845.5926
2017-10-15,707.9388,845.04,684.9732700000002,753.98016,661.2207599999998,647.56604,690.5849599999998,567.5651,584.3340000000002,577.62396,590.4882,768.1451,695.6309,612.58514,693.00464,740.7712,735.8893,782.1872599999998,821.98,842.4019,930.0681,718.6301,655.48816,614.9546
2017-10-18,799.3201,784.6011,645.5783700000002,714.1759,679.5151400000002,571.6192599999998,569.1227,507.73438,538.1984,541.4105,585.1876,678.34644,753.0928,758.7593,777.53156,721.9286,687.77856,738.1827,743.3518,689.7094,821.2104,780.4339,801.5909,873.21625
2017-10-19,775.2531,743.8688400000002,669.56757,671.2323,665.97595,648.42444,618.56836,581.3496,560.2370599999998,609.8816,634.7558,739.7568,689.3885,671.8593,681.7847,612.22186,642.86017,626.0402,682.8388,673.9994,768.2605,713.6085,796.095,769.3045
2017-10-20,765.0497,769.4046599999998,636.3989,699.11993,674.572,641.0534,620.9663,593.993,585.52045,585.2481700000002,603.15,666.53357,709.65753,730.53046,760.3113,682.25226,650.703,688.1239999999998,694.9227,663.2404,764.4131,720.3131,754.8034,765.5897
2017-10-21,773.9034,779.5496,705.3036,707.9464,771.8209,685.8117,626.3751,525.16626,601.5275,623.182,672.675,705.2836,715.8318,752.6098,782.30035,806.6693,802.4265,882.76245,872.1245,761.7338,842.8335599999998,755.7942,734.7111,781.79
2017-10-22,786.5278,777.31445,731.6729,776.2363,686.8599,670.7801,669.9891,618.30084,640.387,617.1365,724.51,663.96344,682.5103,711.1367,709.8462,703.11334,756.84906,794.1507,807.8637,753.9087,789.7533599999998,731.9018,701.6737,797.3504
2017-10-23,742.5880000000002,560.30444,666.8984,805.3985,605.1855,567.8087,676.3613,785.66,656.88916,657.6997,622.4573,745.3655,897.4993,809.8659,740.28143,718.71185,741.755,691.0944,651.2998,667.01886,601.1504,569.1866,647.83887,699.55365
2017-10-24,842.8788,877.2009,855.5699,832.93195,633.21826,544.98236,565.3028,384.62027,510.261,576.0447,612.4631,682.6759,790.85834,814.54,884.0981,836.0917,918.1625,852.4343,798.3024,816.7127,733.66693,762.5963,751.55896,790.4415
2017-10-25,767.959,704.628,737.93066,662.1568,637.559,634.6051,567.4964,614.3419,639.8332,721.2745,720.2398,764.5261,753.43353,731.7717,862.8719,743.7203,783.3738,794.18024,768.07983,675.8253,737.1888,589.6201,760.9644,666.75977
2017-10-26,723.5735,681.02356,680.9549599999998,647.94965,678.3179299999998,575.4492,516.1876,541.61176,508.94373,626.9767,602.1303,662.7294,628.0105599999998,819.1978,890.57666,792.04156,744.5437599999998,815.2414,690.66,660.9437,635.96045,623.3873,748.4894400000002,762.0445
2017-10-27,743.5132,565.4358,556.4961,737.48926,787.40845,550.6526,562.18243,531.7972,505.82834,484.3185,626.797,798.6377,788.0931,703.6049,724.4909700000002,767.3316,696.02765,751.0016,727.8349,676.0945,646.6355599999998,584.95746,642.34485,624.845
2017-10-28,746.68744,668.3091,697.5807,772.98236,618.9711,431.89578,697.0454,566.04095,535.02747,485.2957,642.67676,683.3389,864.1229,874.2015,899.3359,789.15027,740.4074,768.1848,741.82294,677.2134,750.6769400000002,779.7085,765.0023,698.6231700000002
2017-10-29,784.5930000000002,667.3269700000002,745.92926,685.6319,647.55457,550.5165,616.689,871.21045,834.9731400000002,610.44965,751.52124,627.9038,571.55994,665.28107,623.0658,481.12103,635.8397,655.26306,592.48663,594.965,596.928,654.57855,656.9639999999998,519.30066
2017-10-30,743.2931,727.3387,673.51276,816.60834,728.1706,653.02405,630.9337,577.0054,601.14124,631.2629,699.8619,765.3581,690.7187,703.5418,844.7059,748.7077,766.9409,737.5882,766.0774,841.0361,655.22235,742.9942,769.36487,849.33276
